Phone Issues,Time of Issue,Caller ID Number,Advertiser Business Phone Number,Type of Call or Message (Robocalls),Type of Call or Message (Telemarketing),State,Date (Ticket Date of Issue),Date (Ticket Created)
Robocalls,10:15 AM,509-590-2184,-,Prerecorded Voice,,Oklahoma,10/2/2015,10/2/2015
Robocalls,10:15 AM,615-474-2157,-,Prerecorded Voice,,Tennessee,10/2/2015,10/2/2015
Robocalls,10:15 AM,678-203-2880,-,Prerecorded Voice,,Georgia,10/2/2015,10/2/2015
Robocalls,10:15 AM,737-777-2648,-,Prerecorded Voice,,Georgia,10/2/2015,10/2/2015
Robocalls,10:16 AM,523-590-4795,-,Prerecorded Voice,,New York,10/2/2015,10/2/2015
Robocalls,10:20 AM,262-995-0990,-,Prerecorded Voice,,Virginia,10/2/2015,10/2/2015
Robocalls,10:23 AM,609-270-0113,-,Prerecorded Voice,,Colorado,10/2/2015,10/2/2015
Robocalls,10:24 AM,702-757-2215,702-757-2215,Prerecorded Voice,,Georgia,10/2/2015,10/2/2015
Robocalls,10:25 AM,786-701-4048,-,Prerecorded Voice,,Florida,10/2/2015,10/2/2015
Robocalls,1:02 PM,-,253-336-5361,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,10:33 AM,-,253-590-4795,Prerecorded Voice,,Virginia,10/2/2015,10/2/2015
Robocalls,10:39 AM,586-980-6942,586-980-6942,Prerecorded Voice,,Michigan,10/2/2015,10/2/2015
Robocalls,10:42 AM,269-224-9182,269-224-9182,Prerecorded Voice,,Georgia,10/2/2015,10/2/2015
Robocalls,10:49 AM,360-369-4186,360-369-4186,Prerecorded Voice,,Massachusetts,10/2/2015,10/2/2015
Robocalls,10:50 AM,314-449-9340,314-449-9340,Prerecorded Voice,,District of Columbia,10/2/2015,10/2/2015
Robocalls,10:50 AM,214-447-7468,877-746-2559,Autodialed Live Voice Call,,Florida,10/2/2015,10/2/2015
Robocalls,10:53 AM,858-716-6364,-,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,10:53 AM,425-598-4281,425-598-4281,Prerecorded Voice,,New York,10/2/2015,10/2/2015
Robocalls,1:09 PM,804-234-9020,-,Abandoned Call,,New York,10/2/2015,10/2/2015
Robocalls,11:00 a.m.,918-760-1289,-,Prerecorded Voice,,Oklahoma,10/2/2015,10/2/2015
Robocalls,11:07 AM,623-523-1114,-,Prerecorded Voice,,Oklahoma,10/2/2015,10/2/2015
Robocalls,1:10 PM,-,509-320-4199,Prerecorded Voice,,Maryland,10/2/2015,10/2/2015
Robocalls,11:20 AM,914-662-8771,-,Abandoned Call,,New York,10/2/2015,10/2/2015
Robocalls,11:30 AM,213-217-9999,-,Prerecorded Voice,,Maryland,10/2/2015,10/2/2015
Robocalls,11:30 AM,509-320-4199,509-320-4199,Prerecorded Voice,,Maryland,10/2/2015,10/2/2015
Robocalls,11:30 AM,916-469-8902,916-469-8902,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,11:30 AM,360-369-4186,360-369-4186,Prerecorded Voice,,Connecticut,10/2/2015,10/2/2015
Robocalls,11:36 AM,714-332-3561,-,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,11:37 AM,-,737-777-2648,Abandoned Call,,Oregon,10/2/2015,10/2/2015
Robocalls,11:38 AM,-,-,Prerecorded Voice,,Oregon,10/2/2015,10/2/2015
Robocalls,11:40 p.m.,973-755-2737,-,Prerecorded Voice,,Washington,10/2/2015,10/2/2015
Robocalls,11:42 AM,646-866-9198,-,Prerecorded Voice,,District of Columbia,10/2/2015,10/2/2015
Robocalls,11:46 AM,479-966-1521,-,Prerecorded Voice,,Arkansas,10/2/2015,10/2/2015
Robocalls,11:48 AM,312-877-0518,-,Prerecorded Voice,,Pennsylvania,10/2/2015,10/2/2015
Robocalls,11:48 a.m.,728-726-6654,-,Prerecorded Voice,,Georgia,10/2/2015,10/2/2015
Robocalls,11:52 AM,478-216-9145,-,Abandoned Call,,Illinois,10/2/2015,10/2/2015
Robocalls,1:15 PM,508-498-1807,-,Prerecorded Voice,,Massachusetts,10/2/2015,10/2/2015
Robocalls,12:00 PM,763-445-4982,-,Prerecorded Voice,,Massachusetts,10/2/2015,10/2/2015
Robocalls,12:13 PM,404-382-7363,-,Prerecorded Voice,,Georgia,10/2/2015,10/2/2015
Robocalls,12:15 PM,425-698-6107,-,Prerecorded Voice,,Washington,10/2/2015,10/2/2015
Robocalls,12:15 PM,618-355-7420,-,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,1:21 PM,728-726-6654,-,Prerecorded Voice,,Kentucky,10/2/2015,10/2/2015
Robocalls,12:25 PM,509-590-2166,509-590-2166,Prerecorded Voice,,Arizona,10/2/2015,10/2/2015
Robocalls,12:27 PM,202-302-4617,-,Prerecorded Voice,,District of Columbia,10/2/2015,10/2/2015
Robocalls,12:30 PM,-,-,Prerecorded Voice,,Georgia,10/2/2015,10/2/2015
Robocalls,12:30 p.m.,250-079-7595,-,Prerecorded Voice,,Texas,10/2/2015,10/2/2015
Robocalls,12:34 PM,234-217-0305,-,Prerecorded Voice,,Michigan,10/2/2015,10/2/2015
Robocalls,12:35 P.M.,-,-,Prerecorded Voice,,Texas,10/2/2015,10/2/2015
Robocalls,12:37 PM,-,-,Prerecorded Voice,,Virginia,10/2/2015,10/2/2015
Robocalls,12:40 PM,728-726-6654,-,Prerecorded Voice,,West Virginia,10/2/2015,10/2/2015
Robocalls,12:40 PM,832-963-3916,-,Autodialed Live Voice Call,,New Mexico,10/2/2015,10/2/2015
Robocalls,12:45 PM,417-942-1693,-,Prerecorded Voice,,Virginia,10/2/2015,10/2/2015
Robocalls,12:45 P.M.,336-395-0587,-,Abandoned Call,,South Carolina,10/2/2015,10/2/2015
Robocalls,12:47 PM,231-480-4084,231-480-4084,Prerecorded Voice,,Texas,10/2/2015,10/2/2015
Robocalls,12:59 P.M.,718-807-2017,-,Prerecorded Voice,,Illinois,10/2/2015,10/2/2015
Robocalls,1:28 PM,-,-,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,1:32 PM,800-230-6683,800-230-6683,Prerecorded Voice,,Florida,10/2/2015,10/2/2015
Robocalls,1:50 PM,214-302-6762,-,Prerecorded Voice,,Connecticut,10/2/2015,10/2/2015
Robocalls,1:50 PM,407-499-4053,-,Autodialed Live Voice Call,,Wisconsin,10/2/2015,10/2/2015
Robocalls,1:51 p.m.,213-217-9999,-,Prerecorded Voice,,Michigan,10/2/2015,10/2/2015
Robocalls,1:53 PM,-,614-653-2908,Abandoned Call,,Ohio,10/2/2015,10/2/2015
Robocalls,1:57 P.M.,405-205-2954,-,Prerecorded Voice,,Oklahoma,10/2/2015,10/2/2015
Robocalls,1:58 p.m.,234-217-0305,-,Prerecorded Voice,,Kansas,10/2/2015,10/2/2015
Robocalls,1:59 p.m.,312-971-1842,-,Prerecorded Voice,,Illinois,10/2/2015,10/2/2015
Robocalls,2:02 PM,832-387-3383,-,Prerecorded Voice,,Louisiana,10/2/2015,10/2/2015
Robocalls,2:08 PM,610-282-4487,-,Prerecorded Voice,,New Jersey,10/2/2015,10/2/2015
Robocalls,2:10 PM,858-716-6364,-,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,2:15 PM,908-380-8177,-,Prerecorded Voice,,New Jersey,10/2/2015,10/2/2015
Robocalls,2:18 PM,970-259-2968,425-748-9302,Prerecorded Voice,,Colorado,10/2/2015,10/2/2015
Robocalls,2:42 PM,704-967-7893,-,Prerecorded Voice,,North Carolina,10/2/2015,10/2/2015
Robocalls,2:49 PM,-,716-487-9738,Prerecorded Voice,,Florida,10/2/2015,10/2/2015
Robocalls,2:55 PM,737-777-2648,-,Prerecorded Voice,,Texas,10/2/2015,10/2/2015
Robocalls,2:57 PM,404-548-3565,-,Prerecorded Voice,,Georgia,10/2/2015,10/2/2015
Robocalls,2:57 P.M.,972-816-1750,-,Prerecorded Voice,,Texas,10/2/2015,10/2/2015
Robocalls,3:03 PM,985-788-7166,-,Autodialed Live Voice Call,,Florida,10/2/2015,10/2/2015
Robocalls,3:25 PM,706-524-0213,-,Prerecorded Voice,,Georgia,10/2/2015,10/2/2015
Robocalls,3:39 PM,800-280-9708,-,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,3:45 PM,-,-,Prerecorded Voice,,North Carolina,10/2/2015,10/2/2015
Robocalls,3:45 p.m.,562-965-8158,-,Prerecorded Voice,,Oregon,10/2/2015,10/2/2015
Robocalls,3:50 p.m.,440-319-3060,-,Prerecorded Voice,,Minnesota,10/2/2015,10/2/2015
Robocalls,4:00 PM,-,-,Prerecorded Voice,,Oregon,10/2/2015,10/2/2015
Robocalls,4:00 PM,614-295-3067,614-295-3067,Abandoned Call,,Ohio,10/2/2015,10/2/2015
Robocalls,4:02 PM,724-816-4006,-,Prerecorded Voice,,Pennsylvania,10/2/2015,10/2/2015
Robocalls,4:06 P.M.,812-583-5956,-,Prerecorded Voice,,Indiana,10/2/2015,10/2/2015
Robocalls,4:10 PM,-,-,Prerecorded Voice,,Minnesota,10/2/2015,10/2/2015
Robocalls,4:15 PM,213-487-9500,-,Prerecorded Voice,,Virginia,10/2/2015,10/2/2015
Robocalls,4:20 p.m.,480-721-8710,-,Prerecorded Voice,,Virginia,10/2/2015,10/2/2015
Robocalls,4:30 PM,-,516-945-9137,Prerecorded Voice,,Virginia,10/2/2015,10/2/2015
Robocalls,4:30 PM,508-603-5023,-,Abandoned Call,,Massachusetts,10/2/2015,10/2/2015
Robocalls,4:32 p.m.,253-590-4895,253-590-4795,Prerecorded Voice,,Indiana,10/2/2015,10/2/2015
Robocalls,4:35 PM,877-781-0460,-,Prerecorded Voice,,Texas,10/2/2015,10/2/2015
Robocalls,4:37 P.M.,360-369-4186,360-369-4186,Prerecorded Voice,,Virginia,10/2/2015,10/2/2015
Robocalls,4:52 p.m.,-,865-382-7601,Prerecorded Voice,,Tennessee,10/2/2015,10/2/2015
Robocalls,5:00 P.M.,250-079-7595,-,Prerecorded Voice,,Texas,10/2/2015,10/2/2015
Robocalls,5:02 AM,708-484-5096,-,Prerecorded Voice,,Kentucky,10/2/2015,10/2/2015
Robocalls,5:16 p.m.,786-656-0184,-,Prerecorded Voice,,Florida,10/2/2015,10/2/2015
Robocalls,5:18 PM,317-496-6951,-,Prerecorded Voice,,Indiana,10/2/2015,10/2/2015
Robocalls,5:21 PM,803-787-1347,-,Prerecorded Voice,,South Carolina,10/2/2015,10/2/2015
Robocalls,5:55 P.M.,916-234-1126,916-234-1126,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,5:58 PM,-,916-282-9362,Abandoned Call,,Ohio,10/2/2015,10/2/2015
Robocalls,6:07 AM,858-205-1714,-,Autodialed Live Voice Call,,Arizona,10/2/2015,10/2/2015
Robocalls,6:28 p.m.,619-489-0084,-,Prerecorded Voice,,New York,10/2/2015,10/2/2015
Robocalls,6:30 p.m.,706-880-1524,706-880-1524,Abandoned Call,,Georgia,10/2/2015,10/2/2015
Robocalls,6:36 AM,-,-,Abandoned Call,,Arizona,10/2/2015,10/2/2015
Robocalls,6:40 PM,844-210-5817,-,Autodialed Live Voice Call,,Florida,10/2/2015,10/2/2015
Robocalls,6:46 AM,508-970-3358,-,Abandoned Call,,California,10/2/2015,10/2/2015
Robocalls,7:00 AM,-,-,Abandoned Call,,Texas,10/2/2015,10/2/2015
Robocalls,7:20 PM,-,717-216-0748,Prerecorded Voice,,Florida,10/2/2015,10/2/2015
Robocalls,7:21 p.m.,-,813-235-6779,Prerecorded Voice,,Florida,10/2/2015,10/2/2015
Robocalls,7:40 PM,703-595-8690,703-595-8690,Prerecorded Voice,,Virginia,10/2/2015,10/2/2015
Robocalls,7:55 P.M.,804-368-3719,-,Abandoned Call,,Virginia,10/2/2015,10/2/2015
Robocalls,8:00 AM,-,-,Prerecorded Voice,,Florida,10/2/2015,10/2/2015
Robocalls,8:00 AM,701-557-9308,-,Abandoned Call,,South Carolina,10/2/2015,10/2/2015
Robocalls,8:00 a.m.,503-339-7910,-,Abandoned Call,,Oregon,10/2/2015,10/2/2015
Robocalls,8:15 p.m.,800-352-3407,-,Prerecorded Voice,,North Carolina,10/2/2015,10/2/2015
Robocalls,8:35 AM,202-864-1122,202-864-1122,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,9:00 AM,786-452-4865,-,Prerecorded Voice,,Idaho,10/2/2015,10/2/2015
Robocalls,9:01 AM,202-864-1311,202-864-1311,Prerecorded Voice,,New York,10/2/2015,10/2/2015
Robocalls,9:05 AM,804-308-5349,804-308-5349,Prerecorded Voice,,Minnesota,10/2/2015,10/2/2015
Robocalls,9:10 AM,949-521-5586,-,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,9:12 AM,312-877-0518,-,Prerecorded Voice,,Illinois,10/2/2015,10/2/2015
Robocalls,9:12 PM,786-540-0255,-,Prerecorded Voice,,Washington,10/2/2015,10/2/2015
Robocalls,9:15 AM,702-757-2215,-,Prerecorded Voice,,Oklahoma,10/2/2015,10/2/2015
Robocalls,9:17 AM,858-716-6364,-,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,9:18 AM,321-246-3408,-,Prerecorded Voice,,Florida,10/2/2015,10/2/2015
Robocalls,9:18 AM,321-430-4970,-,Abandoned Call,,Nevada,10/2/2015,10/2/2015
Robocalls,9:23 AM,254-433-4660,-,Autodialed Live Voice Call,,Texas,10/2/2015,10/2/2015
Robocalls,9:26 AM,631-505-0143,-,Prerecorded Voice,,North Carolina,10/2/2015,10/2/2015
Robocalls,9:29 a.m.,480-696-7472,-,Autodialed Live Voice Call,,Arizona,10/2/2015,10/2/2015
Robocalls,9:30 AM,855-717-7638,-,Abandoned Call,,New York,10/2/2015,10/2/2015
Robocalls,9:37 AM,602-753-5621,-,Prerecorded Voice,,Florida,10/2/2015,10/2/2015
Robocalls,9:40 AM,-,-,Prerecorded Voice,,Montana,10/2/2015,10/2/2015
Robocalls,9:45 a.m.,909-528-8621,-,Prerecorded Voice,,California,10/2/2015,10/2/2015
Robocalls,9:49 AM,-,-,Prerecorded Voice,,Illinois,10/2/2015,10/2/2015
Robocalls,9:52 AM,-,877-661-6128,Prerecorded Voice,,Ohio,10/2/2015,10/2/2015
Robocalls,9:54 AM,518-478-2354,-,Abandoned Call,,Massachusetts,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),-,-,-,,Live Voice,Massachusetts,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),-,-,-,,Live Voice,Oklahoma,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),-,-,-,,Live Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),-,-,-,,Prerecorded Voice,Utah,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),-,-,774-233-8022,,Prerecorded Voice,Massachusetts,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),-,310-995-1656,-,,Abandoned Calls,Colorado,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),-,914-762-1632,-,,Prerecorded Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:00 PM,-,866-939-7556,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:32 PM,832-422-8899,-,,Live Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),02:45 p.m.,510-260-2409,-,,Live Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),07:18 p.m.,-,-,,Live Voice,Mississippi,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),9:23 AM,512-947-4314,-,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),9:54 AM,304-743-8823,-,,Live Voice,Indiana,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),9:55 AM,973-291-1001,-,,Abandoned Calls,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:00 AM,323-522-5510,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:00 AM,703-947-0503,-,,Abandoned Calls,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:00 AM,773-327-8434,-,,Prerecorded Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:00 a.m.,646-417-9624,-,,Abandoned Calls,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:00 PM,-,-,,Live Voice,Maryland,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:07 AM,-,610-628-4131,,Live Voice,Massachusetts,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:07 AM,850-244-7194,-,,Prerecorded Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:00 PM,-,-,,Abandoned Calls,New Jersey,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:00 PM,-,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:00 PM,234-217-0305,-,,Live Voice,Illinois,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:00 PM,240-204-8754,-,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:00 PM,602-892-0653,-,,Live Voice,Arizona,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:00 PM,855-995-3360,-,,Abandoned Calls,New Jersey,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:00 PM,866-746-7622,-,,Prerecorded Voice,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:10 AM,269-224-9028,-,,Live Voice,South Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:10 a.m.,562-735-0555,-,,Live Voice,Nevada,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:15 AM,-,728-726-6654,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:15 AM,480-543-1740,-,,Live Voice,Arizona,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:18 A.M.,609-270-0113,-,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:20 a.m.,818-841-4437,555-555-5555,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:20 AM,267-233-6724,-,,Prerecorded Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:24 a.m.,-,312-625-9237,,Live Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:24 a.m.,301-358-0364,-,,Prerecorded Voice,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:26 AM,877-361-5749,-,,Abandoned Calls,Arizona,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:27 AM,-,-,,Prerecorded Voice,North Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:28 AM,312-877-0518,-,,Prerecorded Voice,Pennsylvania,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:28 a.m.,000-000-0000,-,,Abandoned Calls,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:28 AM,646-650-3032,646-650-3032,,Live Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:30 AM,202-810-2985,-,,Live Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:30 AM,240-573-7979,240-573-7979,,Prerecorded Voice,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:30 AM,254-212-3275,-,,,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:30 AM,562-126-3031,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:34 AM,-,888-242-3331,,Prerecorded Voice,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:35 a.m.,-,-,,Prerecorded Voice,Minnesota,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:35 A.M.,862-231-5174,-,,Live Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:36 a.m.,-,-,,Live Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:39 AM,240-204-8754,-,,Live Voice,North Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:39 AM,-,-,,Abandoned Calls,Arizona,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:40 AM,714-332-3561,-,,Prerecorded Voice,Nevada,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:40 AM,866-288-7118,-,,Abandoned Calls,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:41 AM,203-858-1094,-,,Prerecorded Voice,Connecticut,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:43 A.M.,312-625-9237,-,,Live Voice,Utah,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:44 AM,323-609-6006,-,,Prerecorded Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:45 AM,714-332-3561,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:45 AM,973-250-2527,-,,Live Voice,New Jersey,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:45 a.m.,202-222-3322,-,,Live Voice,Washington,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:45 A.M.,312-877-0518,-,,Prerecorded Voice,Pennsylvania,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:47 AM,267-233-6724,-,,Prerecorded Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:49 A.M.,201-603-3643,-,,Prerecorded Voice,Massachusetts,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:50 AM,323-633-3132,-,,Abandoned Calls,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:50 AM,860-951-7532,-,,Live Voice,Colorado,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:51 AM,214-334-5582,-,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:52 AM,267-233-6724,-,,Prerecorded Voice,Connecticut,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:54 AM,407-357-0187,-,,Abandoned Calls,Connecticut,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:54 AM,919-622-1924,-,,Prerecorded Voice,North Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:56 AM,929-225-8445,-,,Live Voice,Arizona,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:56 a.m.,267-233-6724,-,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),10:58 a.m.,312-273-9529,-,,Live Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:00 AM,631-973-4757,631-973-4757,,Prerecorded Voice,Louisiana,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:00 AM,740-598-2037,740-598-2037,,Abandoned Calls,Ohio,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:00 AM,850-556-6257,-,,Prerecorded Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:00 AM,860-951-7532,-,,Live Voice,Colorado,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:00 A.M.,904-757-1966,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:02 AM,305-283-8685,-,,Abandoned Calls,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:04 AM,917-900-1089,-,,Prerecorded Voice,Vermont,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:06 AM,941-726-9941,-,,Prerecorded Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:07 AM,253-590-4795,-,,Prerecorded Voice,Iowa,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:07 AM,415-946-5707,-,,Prerecorded Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:10 PM,646-668-6744,-,,Prerecorded Voice,New York,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),1:10 p.m.,510-275-0116,-,,Abandoned Calls,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:12 a.m.,-,-,,Prerecorded Voice,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:14 AM,703-260-6318,-,,Prerecorded Voice,Virginia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:15 AM,-,-,,Prerecorded Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:15 a.m.,202-381-2830,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:15 AM,000-000-0000,-,,Live Voice,Connecticut,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:15 PM,202-407-9787,-,,Live Voice,Missouri,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:16 AM,305-203-5542,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:17 AM,832-426-3513,832-246-3513,,Prerecorded Voice,North Carolina,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:20 AM,240-573-7979,240-573-7979,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:23 AM,731-423-0981,-,,Prerecorded Voice,Tennessee,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:25 a.m.,602-417-7000,-,,Prerecorded Voice,Arizona,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:28 a.m.,240-204-8754,-,,Prerecorded Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:30 AM,702-296-9999,310-990-5902,,Live Voice,New Jersey,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:30 AM,712-659-1894,-,,Prerecorded Voice,Iowa,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:30 AM,863-777-2311,-,,Prerecorded Voice,Michigan,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:30 a.m.,-,-,,Live Voice,Florida,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:33 AM,-,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:35 AM,510-275-0116,-,,Live Voice,Connecticut,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:35 AM,562-259-8923,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:40 AM,619-723-1396,-,,,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:40 a.m.,714-783-0034,714-783-0034,,Live Voice,Nevada,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:41 AM,-,-,,Live Voice,Georgia,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:45 AM,-,-,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:50 A.M.,323-694-3424,-,,Live Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:52 AM,714-332-3561,-,,Abandoned Calls,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:52 a.m.,-,-,,Prerecorded Voice,California,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:53 AM,903-360-4740,-,,Prerecorded Voice,Texas,10/2/2015,10/2/2015
Telemarketing (including do not call and spoofing),11:55 AM,-,-,,Live Voice,California,10/2/2015,10/2/2015
